Time, BindingReaction0,
0.0,0,
1.00009999999987E-4,0,
2.0000999999993522E-4,0,
3.0000999999988347E-4,0,
4.000099999998317E-4,0,
5.000099999998435E-4,0,
6.000000000003338E-4,2,
7.000000000008241E-4,2,
8.000000000013144E-4,2,
9.000000000018047E-4,2,
0.001000000000002041,2,
0.001100000000001447,2,
0.0012000000000008532,2,
0.0013000000000002593,2,
0.0014000099999996653,2,
0.0015000099999990715,2,
0.0016000099999984776,2,
0.0017000099999978837,2,
0.0018000099999972898,2,
0.001900009999996696,4,
0.002000009999996102,4,
0.002100009999995508,4,
0.0022000099999949143,4,
0.0023000099999943204,4,
0.0024000099999937265,5,
0.0025000099999931327,6,
0.0026000099999925388,6,
0.002700009999991945,6,
0.002800009999991351,6,
0.002900009999990757,6,
0.0030000099999901633,6,
0.0031000099999895694,6,
0.0032000099999889755,6,
0.0033000099999883816,6,
0.0034000099999877877,6,
0.003500009999987194,6,
0.0036000099999866,6,
0.003700009999986006,6,
0.003800009999985412,6,
0.0039000099999848183,6,
0.0040000099999842244,7,
0.004100009999983631,8,
0.004200009999983037,8,
0.004300009999982443,8,
0.004400009999981849,8,
0.004500009999981255,8,
0.004600009999980661,8,
0.004700009999980067,8,
0.004800009999979473,8,
0.0049000099999788795,8,
0.005000009999978286,8,
0.005100009999977692,10,
0.005200009999977098,10,
0.005300009999976504,10,
0.00540000999997591,10,
0.005500009999975316,10,
0.005600009999974722,10,
0.0057000099999741285,10,
0.005800009999973535,10,
0.005900009999972941,10,
0.006000009999972347,11,
0.006100009999971753,11,
0.006200009999971159,11,
0.006300009999970565,11,
0.006400009999969971,11,
0.0065000099999693774,11,
0.0066000099999687836,11,
0.00670000999996819,11,
0.006800009999967596,11,
0.006900009999967002,11,
0.007000009999966408,11,
0.007100009999965814,11,
0.00720000999996522,11,
0.007300009999964626,11,
0.0074000099999640325,11,
0.007500009999963439,11,
0.007600009999962845,11,
0.007700009999962251,11,
0.007800009999961657,11,
0.007900009999961063,11,
0.00800000999996047,11,
0.008100009999959875,12,
0.008200009999959281,12,
0.008300009999958688,12,
0.008400009999958094,12,
0.0085000099999575,12,
0.008600009999956906,12,
0.008700009999956312,12,
0.008800009999955718,12,
0.008900009999955124,12,
0.00900000999995453,12,
0.009100009999953937,12,
0.009200009999953343,12,
0.009300009999952749,12,
0.009400009999952155,12,
0.009500009999951561,12,
0.009600009999950967,12,
0.009700009999950373,12,
0.00980000999994978,12,
0.009900009999949185,12,
0.010000009999948592,12,
