Time, BindingReaction0,
0.0,0,
1.00009999999987E-4,0,
2.0000999999993522E-4,1,
3.0000999999988347E-4,1,
4.000099999998317E-4,1,
5.000099999998435E-4,2,
6.000000000003338E-4,2,
7.000000000008241E-4,3,
8.000000000013144E-4,3,
9.000000000018047E-4,3,
0.001000000000002041,5,
0.001100000000001447,5,
0.0012000000000008532,5,
0.0013000000000002593,5,
0.0014000099999996653,6,
0.0015000099999990715,7,
0.0016000099999984776,7,
0.0017000099999978837,7,
0.0018000099999972898,7,
0.001900009999996696,7,
0.002000009999996102,8,
0.002100009999995508,9,
0.0022000099999949143,11,
0.0023000099999943204,11,
0.0024000099999937265,11,
0.0025000099999931327,11,
0.0026000099999925388,11,
0.002700009999991945,12,
0.002800009999991351,12,
0.002900009999990757,13,
0.0030000099999901633,14,
0.0031000099999895694,15,
0.0032000099999889755,15,
0.0033000099999883816,15,
0.0034000099999877877,15,
0.003500009999987194,15,
0.0036000099999866,15,
0.003700009999986006,16,
0.003800009999985412,16,
0.0039000099999848183,16,
0.0040000099999842244,17,
0.004100009999983631,17,
0.004200009999983037,17,
0.004300009999982443,17,
0.004400009999981849,18,
0.004500009999981255,18,
0.004600009999980661,18,
0.004700009999980067,18,
0.004800009999979473,18,
0.0049000099999788795,18,
0.005000009999978286,20,
0.005100009999977692,20,
0.005200009999977098,20,
0.005300009999976504,20,
0.00540000999997591,20,
0.005500009999975316,20,
0.005600009999974722,20,
0.0057000099999741285,20,
0.005800009999973535,20,
0.005900009999972941,20,
0.006000009999972347,20,
0.006100009999971753,20,
0.006200009999971159,20,
0.006300009999970565,20,
0.006400009999969971,20,
0.0065000099999693774,20,
0.0066000099999687836,20,
0.00670000999996819,20,
0.006800009999967596,21,
0.006900009999967002,21,
0.007000009999966408,22,
0.007100009999965814,22,
0.00720000999996522,24,
0.007300009999964626,24,
0.0074000099999640325,24,
0.007500009999963439,24,
0.007600009999962845,24,
0.007700009999962251,24,
0.007800009999961657,24,
0.007900009999961063,24,
0.00800000999996047,25,
0.008100009999959875,25,
0.008200009999959281,25,
0.008300009999958688,25,
0.008400009999958094,25,
0.0085000099999575,25,
0.008600009999956906,25,
0.008700009999956312,25,
0.008800009999955718,25,
0.008900009999955124,25,
0.00900000999995453,25,
0.009100009999953937,25,
0.009200009999953343,25,
0.009300009999952749,25,
0.009400009999952155,25,
0.009500009999951561,25,
0.009600009999950967,25,
0.009700009999950373,25,
0.00980000999994978,25,
0.009900009999949185,25,
0.010000009999948592,25,
